institution_detail_id,organization_id,institution_type_id,local_authority_organization_id,min_age,max_age,establishment_status,institution_type,website,uk_urn
1,1,1,46313,3,14,Open,Other Independent School,http://www.abberleyhall.co.uk/,117011
2,2,1,46235,15,19,Open,Other Independent School,,105601
3,3,1,46324,4,18,Open,Other Independent School,,111484
4,4,1,46324,2,11,Open,Other Independent School,,111466
5,5,1,46292,4,18,Open,Other Independent School,,124470
6,6,1,46328,3,16,Open,Other Independent School,http://www.abbotshill.herts.sc...,117600
7,7,1,46241,3,11,Open,Other Independent School,,106386
8,8,1,46277,2,18,Open,Other Independent School,,113003
9,9,1,46200,2,13,Open,Other Independent School,,101177
10,10,1,46337,2,13,Open,Other Independent School,,125317
11,12,1,46334,4,18,Open,Other Independent School,http://www.abingdon.org.uk,123312
12,13,1,46251,4,19,Open,Other Independent School,,108300
13,14,1,46337,3,18,Open,Other Independent School,,125421
14,15,1,46337,3,18,Open,Other Independent School,,131173
15,16,1,46212,4,19,Open,Other Independent School,,102458
16,17,1,46321,4,18,Open,Other Independent School,http://www.adcoteschool.co.uk,123602
17,18,1,46328,3,19,Open,Other Independent School,,117602
18,19,1,46323,2,18,Open,Other Independent School,,111478
19,20,1,46337,7,13,Open,Other Independent School,,125368
20,21,1,46328,4,13,Open,Other Independent School,www.aldwickbury.org.uk,117608
21,22,1,46335,4,13,Open,Other Independent School,www.allhallowsschool.co.uk,123909
22,23,1,46310,2,11,Open,Other Independent School,www.alleyn-court.co.uk,115403
24,26,1,46210,3,11,Open,Other Independent School,,102250
25,27,1,46286,1,18,Open,Other Independent School,http://www.altonconvent.org.uk,116537
26,28,1,46241,3,11,Open,Other Independent School,www.altprep.co.uk,106379
27,29,1,46336,3,16,Closed,Other Independent School,,124878
28,30,1,46337,2,13,Open,Other Independent School,,125346
29,31,1,46202,4,11,Open,Community School,http://webfronter.com/barnet/C...,101309
30,32,1,46332,4,11,Open,Community School,www.uptonmeadows.co.uk/,134653
31,33,1,46365,11,16,Closed,Community School,,129489
32,34,1,46335,11,16,Open,Other Independent Special School,,135278
33,35,1,46328,11,18,Closed,Foundation School,http://www.francisbacon.herts....,117574
34,36,1,46319,7,11,Open,Community School,www.forestview.notts.sch.uk,122666
35,37,1,46253,11,18,Closed,Foundation School,www.allsaints.newcastle.sch.uk,133302
36,38,1,46212,11,18,Open,Academy Converter,http://swakeleys.hillingdon.sc...,136631
37,39,1,46270,5,11,Closed,Voluntary Controlled School,http://www.sutton-under-whites...,121519
38,40,1,46226,11,18,Closed,Foundation School,http://www.aldridge.walsall.sc...,104263
39,41,1,46327,4,11,Closed,Voluntary Controlled School,http://www.dursleycofeprimarys...,115620
40,42,1,46319,3,11,Closed,Community School,,122495
41,43,1,46261,11,19,Closed,City Technology College,,109384
42,44,1,46259,7,11,Closed,Community School,,108971
43,45,1,46327,4,11,Closed,Community School,http://www.toddingtonschool.ik...,115546
44,46,1,46337,3,7,Open,Voluntary Controlled School,http://www.ottershawcofeschool...,125155
45,47,1,46269,11,19,Closed,Pupil Referral Unit,http://www.ypec.co.uk,117706
46,48,1,46270,2,19,Closed,Other Independent School,,121734
47,49,1,46320,3,11,Closed,Voluntary Aided School,,122783
48,50,1,46294,4,11,Open,Community School,www.priestley.wilts.sch.uk/,126254
49,51,1,46336,5,11,Open,Voluntary Controlled School,http://www.mellis.suffolk.sch....,124737
50,52,1,46212,7,11,Closed,Community School,,126930
51,53,1,46339,11,18,Closed,Community School,www.chsb.org.uk,126062
52,54,1,46289,5,11,Open,Voluntary Controlled School,http://www.witherley.leics.sch...,120172
53,55,1,46253,7,19,Closed,Community Special School,,108557
54,56,1,46314,5,7,Open,Community School,www.tenterdenprimaryfederation...,118382
55,57,1,46292,5,7,Closed,Voluntary Aided School,,124330
56,58,1,46240,6,11,Closed,Community Special School,,106282
57,59,1,46337,8,11,Closed,Community School,,130055
58,60,1,46189,1,10,Closed,Other Independent Special School,,131763
59,61,1,46270,13,18,Open,Other Independent School,,121735
60,62,1,46294,7,18,Open,Other Independent Special School,www.appleford.wilts.sch.uk,126535
61,63,1,46339,2,18,Open,Other Independent School,,126133
62,65,1,46256,2,17,Open,Other Independent School,,108873
63,66,1,46200,5,13,Open,Other Independent School,www.arnoldhouse.co.uk,101156
64,67,1,46338,3,18,Open,Other Independent School,,125774
65,68,1,46318,3,19,Closed,Other Independent School,http://www.arnoldschool.com/,119839
66,69,1,46246,2,10,Open,Other Independent School,,107161
67,70,1,46284,7,14,Open,Other Independent School,http://www.ashdownhouse.co.uk/,114624
68,71,1,46275,2,13,Open,Other Independent School,,110563
69,72,1,46314,3,18,Open,Other Independent School,http://www.ashfordschool.co.uk...,118937
70,73,1,46213,3,11,Open,Other Independent School,,102546
71,74,1,46270,3,18,Open,Other Independent School,http://www.ashville.co.uk,121758
72,75,1,46326,3,19,Open,Other Independent School,,112453
73,76,1,46232,2,11,Open,Other Independent School,,105122
74,77,1,46207,3,11,Open,Other Independent School,www.avenuehouse.org,101962
75,78,1,46209,2,8,Open,Other Independent School,,134800
76,79,1,46330,3,11,Open,Other Independent School,http://www.ayscoughfeehall.lin...,120731
77,80,1,46270,2,14,Open,Other Independent School,,121738
78,81,1,46205,3,18,Open,Other Independent School,http://www.babingtonhouse.com/,101680
79,82,1,46222,2,11,Open,Other Independent School,http://www.bablakejs.co.uk/,103754
80,83,1,46222,11,19,Open,Other Independent School,http://www.bablake.com,103751
81,84,1,46259,4,18,Open,Other Independent School,,109337
82,85,1,46286,3,16,Open,Other Independent School,,116524
83,86,1,46217,11,18,Open,Other Independent School,,102875
84,88,1,46337,2,13,Open,Other Independent School,,125392
85,89,1,46277,3,11,Open,Other Independent School,,113018
86,90,1,46282,4,18,Open,Other Independent School,http://www.barneyschool.org.uk...,114336
87,91,1,46221,3,5,Open,LA Nursery School,http://www.ldelissa.bham.sch.u...,103137
88,92,1,46336,4,11,Open,Voluntary Controlled School,http://charsfield.suffolk.dbpr...,124725
89,93,1,46332,4,11,Closed,Voluntary Aided School,http://www.st-loys.northants.s...,122032
90,94,1,46221,5,7,Closed,Community School,,103158
91,95,1,46258,4,11,Open,Community School,www.bishopsuttonstantondrew.co...,109061
92,96,1,46275,2,11,Closed,Community School,,133512
93,97,1,46319,3,7,Open,Community School,www.carltoncentralinfants.com/,122524
94,98,1,46334,16,19,Open,Sixth Form Centres,NULL,133226
95,99,1,46279,11,16,Open,Other Independent School,http://www.sherborne-ic.net,113948
96,100,1,46314,5,11,Open,Voluntary Aided School,www.st-thomas-canterbury.kent....,118777
97,101,1,46330,4,11,Open,Voluntary Aided School,www.marstonthorolds.lincs.sch....,120605
98,102,1,46353,7,11,Closed,Community School,,128441
99,103,1,46309,4,11,Closed,Foundation School,,132222
100,104,1,46241,NULL,NULL,Closed,Community School,,127544
101,105,1,46371,4,7,Closed,Community School,,130213
102,106,1,46235,3,11,Open,Voluntary Aided School,,105520
103,107,1,46214,11,16,Open,Pupil Referral Unit,,102562
104,108,1,46350,9,19,Closed,Community Special School,,128306
105,109,1,46357,7,11,Closed,Community School,,113728
106,110,1,46224,3,7,Open,Academy Converter,www.devonshireinfantacademy.or...,141293
107,111,1,46243,5,7,Closed,Community School,,127565
108,112,1,46249,3,7,Open,Community School,http://manorfieldpri.kgfl.dbpr...,107672
109,113,1,46331,5,11,Open,Academy Sponsor Led,www.weeting.norfolk.sch.uk,140681
110,114,1,46238,3,5,Closed,LA Nursery School,,105871
111,115,1,46229,3,7,Closed,Community School,www.wooltoninfants.com,104599
112,116,1,46250,3,11,Open,Community School,www.banksideprimary.org/,107901
113,117,1,46237,3,5,Closed,LA Nursery School,,105756
114,118,1,46328,11,18,Open,Voluntary Aided School,http://www.stmarys.net,117594
115,119,1,46261,4,11,Open,Community School,http://www.courtneyprimaryscho...,109054
116,120,1,46284,4,11,Open,Community School,www.hellingly.e-sussex.sch.uk/,114396
117,121,1,46336,2,13,Open,Other Independent School,www.barnardiston-hall.co.uk,124875
118,122,1,46337,3,13,Open,Other Independent School,,125366
119,123,1,46194,3,10,Open,Other Independent School,www.bassetths.org.uk,100513
120,124,1,46249,3,19,Open,Free Schools,http://www.batleygrammar.co.uk,137487
121,125,1,46284,2,18,Open,Other Independent School,http://www.battleabbeyschool.c...,114622
122,126,1,46275,2,14,Open,Other Independent School,www.beachborough.com,110550
123,127,1,46301,19,19,Open,Other Independent School,www.reddamhouse.org.uk,110137
124,128,1,46327,5,12,Open,Other Independent School,,115786
125,129,1,46286,3,19,Open,Other Independent School,,116527
126,130,1,46273,11,18,Closed,Other Independent School,,109716
127,131,1,46273,7,19,Open,Other Independent School,,109728
128,132,1,46273,7,18,Open,Other Independent School,,109718
129,134,1,46321,2,18,Open,Other Independent School,,123599
130,135,1,46323,1,16,Open,Other Independent School,,111474
131,136,1,46237,3,16,Open,Other Independent School,,105855
132,137,1,46328,3,13,Open,Other Independent School,,117620
133,138,1,46314,3,19,Open,Other Independent School,http://www.beechwood.org.uk,118949
134,139,1,46331,7,13,Open,Other Independent School,,121231
135,140,1,46316,5,11,Open,Voluntary Aided School,www.colnechristchurch.ik.org,119433
136,143,1,46250,5,9,Closed,Voluntary Aided School,,127942
137,144,1,46270,1,13,Open,Other Independent School,,121746
138,145,1,46293,11,16,Closed,Voluntary Aided School,,124454
139,146,1,46202,3,19,Open,Other Independent School,,101367
140,147,1,46205,2,11,Open,Other Independent School,,101687
141,148,1,46337,2,13,Open,Other Independent School,,125376
142,149,1,46302,4,11,Open,Community School,www.robertarkenstall.co.uk/,110635
143,150,1,46314,10,19,Open,Other Independent School,http://www.benenden.kent.sch.u...,118939
144,151,1,46346,4,11,Open,Offshore Schools,,132427
145,152,1,46327,3,11,Open,Other Independent School,,115800
146,153,1,46199,5,11,Open,Voluntary Aided School,www.holyghost.wandsworth.sch.u...,101036
147,154,1,46328,3,19,Open,Other Independent School,,117604
148,156,1,46331,3,7,Open,Community School,www.grovehouseinfant.org/,120804
149,157,1,46314,11,18,Open,Other Independent School,http://www.bethany.demon.co.uk...,118978
150,159,1,46259,4,18,Open,Other Independent School,www.bristolgrammarschool.co.uk,109369
151,160,1,46334,3,5,Closed,LA Nursery School,,122975
152,161,1,46205,2,13,Open,Other Independent School,http://www.bickleyparkschool.c...,101682
153,162,1,46313,4,11,Open,Voluntary Controlled School,www.grimleyholt.worcs.sch.uk,116815
154,163,1,46338,3,14,Open,Other Independent School,,125773
155,164,1,46243,7,11,Closed,Community School,,127566
156,165,1,46321,5,13,Open,Other Independent School,www.birchfieldschool.co.uk,123616
157,166,1,46274,9,13,Closed,Voluntary Aided School,http://www.holywell.beds.sch.u...,109712
158,167,1,46246,4,18,Open,Other Independent School,www.birkdaleschool.org.uk,107163
159,168,1,46286,2,7,Open,Community School,www.knightsenham-inf.hants.sch...,116026
160,170,1,46205,3,18,Open,Other Independent School,http://www.bishopchallonerscho...,101683
161,171,1,46307,11,19,Open,Academy Sponsor Led,http://www.marineacademy.org.u...,136166
162,172,1,46328,4,18,Open,Other Independent School,,117605
163,173,1,46286,5,19,Open,Other Independent Special School,,131531
164,175,1,46317,3,11,Open,Community School,www.cedarsprimaryschool.co.uk/,119222
165,176,1,46337,3,14,Open,Other Independent School,,125328
166,177,1,46306,4,11,Open,Community School,www.wemburyprimary.co.uk,113266
167,178,1,46190,3,18,Open,Other Independent School,,100756
168,179,1,46190,3,11,Open,Other Independent School,www.blackheathprepschool.com,100199
169,180,1,46339,3,11,Closed,Community School,http://www.seymour.w-sussex.sc...,125893
170,181,1,46334,11,19,Open,Other Independent School,,123275
171,182,1,46233,3,11,Open,Community School,www.lordstreetprimaryschool.co...,105179
172,183,1,46306,2,11,Open,Other Independent School,,113577
174,185,1,46306,11,18,Open,Other Independent School,,113575
175,186,1,46323,10,16,Open,Other Independent Special School,,131370
176,187,1,46233,7,18,Open,Other Independent School,www.boys.bolton.sch.uk/,105271
177,188,1,46235,3,11,Open,Voluntary Controlled School,http://www.stmargaretsmanchest...,105493
178,189,1,46269,4,11,Open,Community School,www.broughton-jnr.lincs.sch.uk...,117729
179,190,1,46233,18,18,Open,Other Independent School,,105272
180,191,1,46306,4,11,Open,Voluntary Aided School,www.meavy.devon.sch.uk/,113480
181,192,1,46326,11,18,Open,Community School,http://thelakesschool.com/,112379
182,193,1,46271,3,19,Open,Other Independent School,,121722
183,194,1,46286,4,7,Open,Voluntary Aided School,,116366
184,195,1,46228,3,11,Open,Community School,www.knowsleyvillageschool.co.u...,104423
185,196,1,46294,3,13,Open,Other Independent School,www.salisburycathedralschool.c...,126518
186,197,1,46286,2,14,Open,Other Independent School,,116558
187,198,1,46279,2,13,Open,Other Independent School,http://www.dumpton.com,113923
188,199,1,46281,11,18,Open,Other Independent School,,113937
189,200,1,46347,4,11,Open,Offshore Schools,,132530
190,201,1,46302,4,11,Open,Foundation School,www.icknield.cambs.sch.uk/,110671
